,name_id,gsis_id,display_name,football_name,first_name,last_name,short_name,status,dob,college,height,weight,entry_year,rookie_year,draft_number,draft_round,draft_team,headshot_url
41,Austin Allen,00-0034608,Austin Allen,Austin,Austin,Allen,A.Allen,CUT,1994-08-21,Arkansas,73.0,209.0,2018.0,2018.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ncl56sot1fdwwye4nmgm"
42,Austin Aune,00-0038987,Austin Aune,Austin,Austin,Aune,A.Aune,CUT,,North Texas,74.0,221.0,2023.0,2023.0,,,,
43,Austin Davis,00-0028957,Austin Davis,Austin,Austin,Davis,A.Davis,UFA,1989-06-02,Southern Mississippi,74.0,221.0,2012.0,2012.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wmquxjs1nuwferz7o9q2"
44,Austin Reed,00-0039464,Austin Reed,Austin,Austin,Reed,A.Reed,ACT,2000-02-22,Western Kentucky,74.0,220.0,2024.0,2024.0,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/as3ophwqsfgusvffepv1"
45,B.J. Coleman,00-0029219,B.J. Coleman,,B.J.,Coleman,,RET,,,75.0,231.0,,,,,,
46,B.J. Symons,00-0022720,B.J. Symons,,B.J.,Symons,,RET,,,73.0,210.0,,,,,,
47,Babe Laufenberg,,,,,,,,,,,,,,,,,
48,Babe Parilli,,,,,,,,,,,,,,,,,
49,Bailey Zappe,00-0038108,Bailey Zappe,Bailey,Bailey,Zappe,B.Zappe,ACT,1999-04-26,Western Kentucky,73.0,220.0,2022.0,2022.0,137.0,4.0,NE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/m0aps8mb4jev4t4tduir"
50,Baker Mayfield,00-0034855,Baker Mayfield,Baker,Baker,Mayfield,B.Mayfield,ACT,1995-04-14,Oklahoma,73.0,215.0,2018.0,2018.0,1.0,1.0,CLE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xrbgtbyy8a7l0ux13hjy"
51,Bart Houston,00-0033866,Bart Houston,Bart,Bart,Houston,B.Houston,CUT,1992-12-16,Wisconsin,76.0,235.0,2017.0,2017.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/evegito5bg3uggk1diea"
52,Bart Starr,,,,,,,,,,,,,,,,,
53,Ben Bryant,00-0039927,Ben Bryant,Ben,Ben,Bryant,B.Bryant,CUT,,Northwestern,75.0,220.0,2024.0,2024.0,,,,
54,Ben Chappell,00-0028203,Ben Chappell,,Ben,Chappell,,RET,,,75.0,242.0,,,,,,
55,Ben DiNucci,00-0036384,Ben DiNucci,Ben,Benjamin,DiNucci,B.DiNucci,ACT,1996-11-24,James Madison,75.0,210.0,2020.0,2020.0,231.0,7.0,DAL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o1gjqpevru8k8d98y2qn"
56,Ben Roethlisberger,00-0022924,Ben Roethlisberger,Ben,Ben,Roethlisberger,B.Roethlisberger,ACT,1982-03-02,"Miami, O.",77.0,240.0,2004.0,2004.0,11.0,1.0,PIT,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vziogpnyp9d0xtpiuqhr"
57,Bernie Kosar,00-0009427,Bernie Kosar,,Bernie,Kosar,,RET,1963-11-25,,77.0,214.0,,,,,,
58,Bert Jones,,,,,,,,,,,,,,,,,
59,Bill Demory,,,,,,,,,,,,,,,,,
60,Bill Kenney,,,,,,,,,,,,,,,,,
61,Bill Mackrides,,,,,,,,,,,,,,,,,
62,Bill Munson,,,,,,,,,,,,,,,,,
63,Bill Musgrave,00-0011873,Bill Musgrave,,Bill,Musgrave,,RET,1967-11-11,,74.0,215.0,,,,,,
64,Bill Nelsen,,,,,,,,,,,,,,,,,
65,Bill Troup,,,,,,,,,,,,,,,,,
66,Billy Joe Hobert,00-0007530,Billy Joe Hobert,,Billy Joe,Hobert,,RET,1971-01-08,,75.0,230.0,1993.0,1993.0,58.0,,,
67,Billy Joe Tolliver,00-0016534,Billy Joe Tolliver,,Billy Joe,Tolliver,,RET,1966-02-07,,73.0,217.0,1989.0,1989.0,51.0,,,
68,Billy Kilmer,,,,,,,,,,,,,,,,,
69,Billy Volek,00-0019041,Billy Volek,,Billy,Volek,,RET,1976-04-28,,74.0,214.0,,,,,,
70,Billy Wade,,,,,,,,,,,,,,,,,
71,Blaine Gabbert,00-0027948,Blaine Gabbert,Blaine,Blaine,Gabbert,B.Gabbert,ACT,1989-10-15,Missouri,76.0,235.0,2011.0,2011.0,10.0,1.0,JAX,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fphhd3wedamgkps6e0dl"
72,Blair Kiel,00-0009209,Blair Kiel,,Blair,Kiel,,RET,1961-11-29,,72.0,200.0,,,,,,
73,Blake Bortles,00-0031407,Blake Bortles,Blake,Robby,Bortles,B.Bortles,RES,1992-04-28,Central Florida,77.0,236.0,2014.0,2014.0,3.0,1.0,JAX,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jvoui3bptgsfvgkz5e1b"
74,Bo Nix,00-0039732,Bo Nix,Bo,Bo,Nix,B.Nix,ACT,2000-02-25,Oregon,74.0,217.0,2024.0,2024.0,12.0,1.0,DEN,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zibtvsprpauxnytis229"
75,Bob Avellini,,,,,,,,,,,,,,,,,
76,Bob Berry,,,,,,,,,,,,,,,,,
77,Bob Bleier,,,,,,,,,,,,,,,,,
78,Bob Brodhead,,,,,,,,,,,,,,,,,
79,Bob Celeri,,,,,,,,,,,,,,,,,
80,Bob Clatterbuck,,,,,,,,,,,,,,,,,
81,Bob Davis,,,,,,,,,,,,,,,,,
82,Bob Gage,,,,,,,,,,,,,,,,,
83,Bob Gagliano,00-0005676,Bob Gagliano,,Bob,Gagliano,,RET,1958-09-05,,75.0,205.0,,,,,,
84,Bob Griese,,,,,,,,,,,,,,,,,
85,Bob Lee,,,,,,,,,,,,,,,,,
86,Bob Waterfield,,,,,,,,,,,,,,,,,
87,Bob Waters,,,,,,,,,,,,,,,,,
88,Bob Williams,,,,,,,,,,,,,,,,,
89,Bobby Douglass,,,,,,,,,,,,,,,,,
90,Bobby Hebert,00-0007190,Bobby Hebert,,Bobby,Hebert,,RET,1960-08-19,,76.0,215.0,,,,,,
91,Bobby Hoying,00-0007832,Bobby Hoying,,Bobby,Hoying,,RET,1972-09-20,,75.0,220.0,,,,,,
92,Bobby Layne,,,,,,,,,,,,,,,,,
93,Bobby Scott,,,,,,,,,,,,,,,,,
94,Bobby Thomason,,,,,,,,,,,,,,,,,
95,Boomer Esiason,00-0004937,Boomer Esiason,,Boomer,Esiason,,RET,1961-04-17,,77.0,224.0,,,,,,
96,Brad Goebel,00-0006065,Brad Goebel,,Brad,Goebel,,RET,1967-10-13,,75.0,214.0,,,,,,
97,Brad Johnson,00-0008442,Brad Johnson,,Brad,Johnson,,RET,1968-09-13,,77.0,235.0,1992.0,1992.0,227.0,,,
98,Brad Kaaya,00-0033585,Brad Kaaya,Brad,Brad,Kaaya,B.Kaaya,UFA,1995-09-03,Miami (Fla.),76.0,215.0,2017.0,2017.0,215.0,6.0,DET,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ugpwmxgf1r3ggsxbia61"
99,Brad Smith,00-0024318,Brad Smith,,Brad,Smith,,RET,1983-12-12,,74.0,213.0,,,,,,
100,Brad Sorensen,00-0030292,Brad Sorensen,,Brad,Sorensen,,RET,1988-03-13,,77.0,230.0,,,,,,
101,Bradlee Van Pelt,00-0022774,Bradlee Van Pelt,,Bradlee,Van Pelt,,RET,1980-07-03,,74.0,220.0,,,,,,
102,Brady Quinn,00-0025409,Brady Quinn,,Brady,Quinn,,RET,1984-10-27,,75.0,235.0,2007.0,2007.0,22.0,,,
103,Brandon Allen,00-0032434,Brandon Allen,Brandon,Brandon,Allen,B.Allen,U01,1992-09-05,Arkansas,74.0,209.0,2016.0,2016.0,201.0,6.0,JAX,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xn9eheiy6kty4movmlak"
104,Brandon Doman,00-0021276,Brandon Doman,,Brandon,Doman,,RET,1976-12-29,,73.0,210.0,,,,,,
105,Brandon Doughty,00-0032446,Brandon Doughty,Brandon,Brandon,Doughty,B.Doughty,DEV,1991-10-06,Western Kentucky,75.0,212.0,2016.0,2016.0,223.0,7.0,MIA,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mi5u3it8slmdwrndjswe"
106,Brandon Peters,00-0037472,Brandon Peters,Brandon,Brandon,Peters,B.Peters,CUT,,Illinois,77.0,220.0,2022.0,2022.0,,,,
107,Brandon Weeden,00-0029677,Brandon Weeden,Brandon,Brandon,Weeden,B.Weeden,UFA,1983-10-14,Oklahoma State,75.0,230.0,2012.0,2012.0,22.0,1.0,CLE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/m8oocp4p9nskilnakgnw"
108,Braxton Burmeister,00-0038365,Braxton Burmeister,Braxton,Braxton,Burmeister,B.Burmeister,CUT,,San Diego State,73.0,205.0,2023.0,2023.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fg7rcpkqcnkub5khqcbv"
109,Brendon Kay,00-0030882,Brendon Kay,,Brendon,Kay,,RET,,,76.0,228.0,,,,,,
110,Brent Pease,,,,,,,,,,,,,,,,,
111,Brett Basanez,00-0023859,Brett Basanez,,Brett,Basanez,,RET,1983-05-11,,73.0,208.0,,,,,,
112,Brett Elliott,00-0024074,Brett Elliott,,Brett,Elliott,,RET,,,75.0,210.0,,,,,,
113,Brett Favre,00-0005106,Brett Favre,,Brett,Favre,,RET,1969-10-10,,74.0,222.0,1991.0,1991.0,33.0,,,
114,Brett Hundley,00-0031589,Brett Hundley,Brett,Brett,Hundley,B.Hundley,DEV,1993-06-15,UCLA,75.0,226.0,2015.0,2015.0,147.0,5.0,GB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lgplktjykzjrnjsn9x8y"
115,Brett Ratliff,00-0025694,Brett Ratliff,,Brett,Ratliff,,RET,1985-08-08,,76.0,224.0,,,,,,
116,Brett Rypien,00-0034955,Brett Rypien,Brett,Brett,Rypien,B.Rypien,ACT,1996-07-09,Boise State,74.0,200.0,2019.0,2019.0,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/oogvu5kkkboldowqkfst"
117,Brian Brohm,00-0026196,Brian Brohm,,Brian,Brohm,,RET,1985-09-23,,75.0,223.0,2008.0,2008.0,56.0,,,
118,Brian Griese,00-0006423,Brian Griese,,Brian,Griese,,RET,1975-03-18,,75.0,214.0,1998.0,1998.0,91.0,,,
119,Brian Hoyer,00-0026625,Brian Hoyer,Brian,Brian,Hoyer,B.Hoyer,ACT,1985-10-13,Michigan State,74.0,215.0,2009.0,2009.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/japt3mj2xctm7saqndxn"
120,Brian Lewerke,00-0036092,Brian Lewerke,Brian,Brian,Lewerke,B.Lewerke,RES,1996-10-24,Michigan State,75.0,212.0,2020.0,2020.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gp12el16qbz9rmkcqe5i"
121,Brian McClure,,,,,,,,,,,,,,,,,
122,Brian Sipe,,,,,,,,,,,,,,,,,
123,Brian St. Pierre,00-0022101,Brian St. Pierre,,Brian,St. Pierre,,RET,1979-11-28,,75.0,224.0,2003.0,2003.0,163.0,,,
124,Broc Rutter,00-0035809,Broc Rutter,,Broc,Rutter,,ACT,,,74.0,204.0,,,,,,
125,Brock Berlin,00-0023158,Brock Berlin,,Brock,Berlin,,RET,1981-07-04,,73.0,215.0,,,,,,
126,Brock Huard,00-0007834,Brock Huard,,Brock,Huard,,RET,1976-04-15,,76.0,232.0,1999.0,1999.0,77.0,,,
127,Brock Jensen,00-0031207,Brock Jensen,,Brock,Jensen,,RET,,,75.0,225.0,,,,,,
128,Brock Osweiler,00-0029682,Brock Osweiler,Brock,Brock,Osweiler,B.Osweiler,UFA,1990-11-22,Arizona State,79.0,240.0,2012.0,2012.0,57.0,2.0,DEN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwkmtgeitdi79qtumb2x"
129,Brock Purdy,00-0037834,Brock Purdy,Brock,Brock,Purdy,B.Purdy,ACT,1999-12-27,Iowa State,73.0,212.0,2022.0,2022.0,262.0,7.0,SF,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/myvg8siij2bn9ecx7btm"
130,Brodie Croyle,00-0024300,Brodie Croyle,,Brodie,Croyle,,RET,1983-02-06,,74.0,206.0,2006.0,2006.0,85.0,,,
131,Brogan Roback,00-0034697,Brogan Roback,Brogan,Brogan,Roback,B.Roback,CUT,1994-08-29,Eastern Michigan,75.0,215.0,2018.0,2018.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bstowqxkv14erosr55fh"
132,Brooks Bollinger,00-0022026,Brooks Bollinger,,Brooks,Bollinger,,RET,1979-11-15,,73.0,205.0,2003.0,2003.0,200.0,,,
133,Browning Nagle,00-0011907,Browning Nagle,,Browning,Nagle,,RET,1968-04-29,,75.0,220.0,,,,,,
134,Bruce Eugene,00-0023769,Bruce Eugene,,Bruce,Eugene,,RET,,,72.0,283.0,,,,,,
135,Bruce Gradkowski,00-0024408,Bruce Gradkowski,,Bruce,Gradkowski,,RET,1983-01-27,,73.0,217.0,2006.0,2006.0,194.0,,,
136,Bruce Lemmerman,,,,,,,,,,,,,,,,,
137,Bruce Mathison,,,,,,,,,,,,,,,,,
138,Bryan Bennett,00-0031513,Bryan Bennett,,Bryan,Bennett,,RET,,,74.0,211.0,,,,,,
139,Bryan Randall,00-0023237,Bryan Randall,,Bryan,Randall,,RET,,,73.0,218.0,,,,,,
140,Bryce Perkins,00-0035939,Bryce Perkins,Bryce,Bryce,Perkins,B.Perkins,ACT,1996-12-20,Virginia,75.0,215.0,2020.0,2020.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mouuxpmyg8wgcrtfc0tr"
141,Bryce Petty,00-0031568,Bryce Petty,Bryce,Bryce,Petty,B.Petty,CUT,1991-05-31,Baylor,75.0,226.0,2015.0,2015.0,103.0,4.0,NYJ,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ptb0vcf2vqqittc5qown"
142,Bryce Young,00-0039150,Bryce Young,Bryce,Bryce,Young,B.Young,ACT,2001-07-25,Alabama,72.0,194.0,2023.0,2023.0,1.0,1.0,CAR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gdmtmmviwadpobyjogal"
143,Bryn Renner,00-0030673,Bryn Renner,,Bryn,Renner,,RET,1990-01-22,,75.0,225.0,,,,,,
144,Bryson Spinner,00-0022649,Bryson Spinner,,Bryson,Spinner,,RET,,,75.0,235.0,,,,,,
145,Bubby Brister,00-0001785,Bubby Brister,,Bubby,Brister,,RET,1962-08-15,,75.0,212.0,1986.0,1986.0,67.0,,,
146,Bucky Richardson,00-0013671,Bucky Richardson,,Bucky,Richardson,,RET,1969-02-07,,73.0,228.0,,,,,,
147,Buddy Humphrey,,,,,,,,,,,,,,,,,
148,Butch Songin,,,,,,,,,,,,,,,,,
149,Byron Leftwich,00-0022177,Byron Leftwich,,Byron,Leftwich,,RET,1980-01-14,,77.0,250.0,2003.0,2003.0,7.0,,,
150,C.J. Beathard,00-0033936,C.J. Beathard,C.J.,Casey,Beathard,C.Beathard,U01,1993-11-16,Iowa,74.0,215.0,2017.0,2017.0,104.0,3.0,SF,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yw8euaevcvwswbx5w27w"
151,C.J. Stroud,00-0039163,C.J. Stroud,C.J.,Coleridge,Stroud,C.Stroud,ACT,2001-10-03,Ohio State,75.0,218.0,2023.0,2023.0,2.0,1.0,HOU,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fbk2eqpo54lawppgetjn"
152,Cade McNown,00-0011044,Cade McNown,,Cade,McNown,,RET,1977-01-12,,73.0,210.0,1999.0,1999.0,12.0,,,
153,Caleb Hanie,00-0025970,Caleb Hanie,,Caleb,Hanie,,RET,1985-09-11,,74.0,235.0,,,,,,
154,Caleb TerBush,00-0030367,Caleb TerBush,,Caleb,TerBush,,RET,,,77.0,225.0,,,,,,
155,Caleb Williams,00-0039918,Caleb Williams,Caleb,Caleb,Williams,C.Williams,ACT,2001-11-18,Southern California,73.0,215.0,2024.0,2024.0,1.0,1.0,CHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/idewrhb7kngpdtrvku31"
156,Cam Newton,00-0027939,Cam Newton,Cam,Cameron,Newton,C.Newton,ACT,1989-05-11,Auburn,77.0,245.0,2011.0,2011.0,1.0,1.0,CAR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zwmgw2gmnn2kch4nquft"
157,Cardale Jones,00-0033098,Cardale Jones,Cardale,Cardale,Jones,C.Jones,CUT,1992-09-29,Ohio State,77.0,250.0,2016.0,2016.0,139.0,4.0,BUF,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we5tadbw4htpyierf8qv"
158,Carlos Brown,,,,,,,,,,,,,,,,,
159,Carson Palmer,00-0021429,Carson Palmer,Carson,Carson,Palmer,C.Palmer,RES,1979-12-27,USC,77.0,235.0,2003.0,2003.0,1.0,1.0,CIN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/belgna3tokxga0gjjmwk"
160,Carson Strong,00-0037139,Carson Strong,Carson,Carson,Strong,C.Strong,CUT,1999-09-14,Nevada,76.0,215.0,2022.0,2022.0,,,,
161,Carson Wentz,00-0032950,Carson Wentz,Carson,Carson,Wentz,C.Wentz,U01,1992-12-30,North Dakota State,77.0,237.0,2016.0,2016.0,2.0,1.0,PHI,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jtwkpwc18ivthztykkc8"
162,Carter Bradley,00-0039534,Carter Bradley,Carter,Carter,Bradley,C.Bradley,ACT,2000-03-09,South Alabama,75.0,216.0,2024.0,2024.0,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/kw2ogega4ojum3hyecya"
163,Cary Conklin,00-0003367,Cary Conklin,,Cary,Conklin,,RET,1968-02-29,,76.0,225.0,,,,,,
164,Case Cookus,00-0035812,Case Cookus,Case,Stephen,Cookus,C.Cookus,DEV,1995-10-06,Northern Arizona,76.0,205.0,2020.0,2020.0,,,,
165,Case Keenum,00-0028986,Case Keenum,Case,Casey,Keenum,C.Keenum,U01,1988-02-17,Houston,73.0,215.0,2012.0,2012.0,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/zj2xieg6nctsabgzu65n"
166,Casey Bauman,00-0039657,Casey Bauman,Casey,Casey,Bauman,C.Bauman,CUT,2000-05-18,"Augustana, S.D.",79.0,225.0,2024.0,2024.0,,,,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d8v5zflc5ziynysftwz9"
167,Casey Bramlet,00-0022829,Casey Bramlet,,Casey,Bramlet,,RET,1981-04-02,,76.0,225.0,,,,,,
168,Casey Printers,00-0023739,Casey Printers,,Casey,Printers,,RET,1981-05-16,,74.0,222.0,,,,,,
169,Casey Weldon,00-0017415,Casey Weldon,,Casey,Weldon,,RET,1969-02-03,,73.0,206.0,,,,,,
170,Chad Henne,00-0026197,Chad Henne,Chad,Chad,Henne,C.Henne,U01,1985-07-02,Michigan,75.0,222.0,2008.0,2008.0,57.0,2.0,MIA,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ornr9pcnzveqlntqc7jx"
171,Chad Hutchinson,00-0020562,Chad Hutchinson,,Chad,Hutchinson,,RET,1977-02-21,,77.0,237.0,,,,,,
172,Chad Kanoff,00-0034478,Chad Kanoff,Chad,Chad,Kanoff,C.Kanoff,DEV,1994-10-06,Princeton,76.0,227.0,2018.0,2018.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sf0sippgf2y82qkmrna6"
173,Chad Kelly,00-0033597,Chad Kelly,Chad,Chad,Kelly,C.Kelly,CUT,1994-03-26,Mississippi,74.0,216.0,2017.0,2017.0,253.0,7.0,DEN,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/msrm2dj2ksmjxpym2rqs"
174,Chad May,00-0010587,Chad May,,Chad,May,,RET,1971-09-28,,73.0,219.0,,,,,,
175,Chad Pennington,00-0019559,Chad Pennington,,Chad,Pennington,,RET,1976-06-26,,75.0,225.0,2000.0,2000.0,18.0,,,
176,Chandler Harnish,00-0029554,Chandler Harnish,,Chandler,Harnish,,RET,1988-07-28,,74.0,222.0,,,,,,
177,Charley Johnson,,,,,,,,,,,,,,,,,
178,Charley Trippi,,,,,,,,,,,,,,,,,
179,Charlie Batch,00-0000865,Charlie Batch,,Charlie,Batch,,RET,1974-12-05,,74.0,216.0,1998.0,1998.0,60.0,,,
180,Charlie Conerly,,,,,,,,,,,,,,,,,
181,Charlie Frye,00-0023502,Charlie Frye,,Charlie,Frye,,RET,1981-08-28,,76.0,220.0,2005.0,2005.0,67.0,,,
182,Charlie Whitehurst,00-0024296,Charlie Whitehurst,,Charlie,Whitehurst,,RET,1982-08-06,,77.0,226.0,2006.0,2006.0,81.0,,,
183,Chase Daniel,00-0026544,Chase Daniel,Chase,William,Daniel,C.Daniel,U01,1986-10-07,Missouri,72.0,229.0,2009.0,2009.0,,,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jt8fvgeyuhsbpo9m9t4x"
